flow_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,tcp_flags,tos,label,is_anomaly
CIC-efb591d50ab9,2026-09-20 08:30:00,192.168.10.48,192.168.1.7,61205,53,UDP,6.611232,67,23417,"FIN,SYN,ACK",0,benign,0
CIC-499800e65e4d,2026-09-20 08:30:00,192.168.10.32,192.168.1.8,55744,8080,TCP,1.965298,67,40155,"FIN,SYN,ACK",0,benign,0
CIC-d38c3232a998,2026-09-20 08:30:00,192.168.10.31,192.168.1.7,51858,443,TCP,3.447218,38,30988,"FIN,SYN,ACK",0,benign,0
CIC-724ac637652c,2026-09-20 08:30:00,192.168.10.23,192.168.1.1,57307,443,TCP,14.561935,70,29987,"FIN,SYN,ACK",0,benign,0
CIC-709fa153636f,2026-09-20 08:30:00,172.16.0.94,192.168.1.4,65002,80,TCP,1.515048,3573,214380,SYN,0,syn_flood,1
CIC-70f175fb2f86,2026-09-20 08:30:00,192.168.10.17,192.168.1.6,52869,80,TCP,7.069859,59,30162,"FIN,SYN,ACK",0,benign,0
CIC-b86ce5e67859,2026-09-20 08:30:00,192.168.10.22,192.168.1.8,62336,53,UDP,12.498539,68,43030,"FIN,SYN,ACK",0,benign,0
CIC-b297c049b075,2026-09-20 08:30:00,192.168.10.40,192.168.1.8,62044,80,TCP,10.253307,55,11240,"FIN,SYN,ACK",0,benign,0
CIC-d09068241779,2026-09-20 08:30:00,192.168.10.13,192.168.1.4,51028,443,TCP,11.721899,64,23261,"FIN,SYN,ACK",0,benign,0
CIC-e6962d157f0f,2026-09-20 08:30:00,192.168.10.5,192.168.1.8,58313,8080,TCP,8.500279,43,20635,"FIN,SYN,ACK",0,benign,0
CIC-63647177bccf,2026-09-20 08:30:00,172.16.0.55,192.168.1.4,53682,80,TCP,0.929763,4922,295320,SYN,0,syn_flood,1
CIC-226210d96d16,2026-09-20 08:30:00,192.168.10.33,192.168.1.6,51220,443,TCP,3.547395,48,13323,"FIN,SYN,ACK",0,benign,0
CIC-8841f25ccf77,2026-09-20 08:30:00,192.168.10.2,192.168.1.1,50890,443,TCP,9.981487,46,20101,"FIN,SYN,ACK",0,benign,0
CIC-bcd07d4018be,2026-09-20 08:30:00,192.168.10.35,192.168.1.5,57271,443,TCP,6.955064,49,17196,"FIN,SYN,ACK",0,benign,0
CIC-c60177f0d667,2026-09-20 08:30:00,192.168.10.6,192.168.1.9,54704,443,TCP,4.557605,68,19323,"FIN,SYN,ACK",0,benign,0
CIC-ab7cd9096a9f,2026-09-20 08:30:00,192.168.10.36,192.168.1.5,62078,443,TCP,10.510621,41,30274,"FIN,SYN,ACK",0,benign,0
CIC-857c15f9eae0,2026-09-20 08:30:00,192.168.10.15,192.168.1.6,62400,53,UDP,1.491044,70,26303,"FIN,SYN,ACK",0,benign,0
CIC-1ec210d7fe79,2026-09-20 08:30:00,172.16.0.126,192.168.1.6,60938,80,TCP,1.541187,4354,261240,SYN,0,syn_flood,1
CIC-6d2f2257b7ba,2026-09-20 08:30:00,192.168.10.39,192.168.1.2,49833,53,UDP,8.782264,33,8955,"FIN,SYN,ACK",0,benign,0
CIC-84105c16b28f,2026-09-20 08:30:00,192.168.10.15,192.168.1.9,64308,80,TCP,2.210636,62,23603,"FIN,SYN,ACK",0,benign,0
CIC-0c9285d9e61c,2026-09-20 08:30:00,192.168.10.23,192.168.1.1,61975,80,TCP,8.884186,49,30238,"FIN,SYN,ACK",0,benign,0
CIC-76b611187e04,2026-09-20 08:30:00,192.168.10.40,192.168.1.9,53525,8080,TCP,7.386069,32,19249,"FIN,SYN,ACK",0,benign,0
CIC-cf7cb6b07cb5,2026-09-20 08:30:00,192.168.10.27,192.168.1.3,51449,80,TCP,6.611726,36,28383,"FIN,SYN,ACK",0,benign,0
CIC-70b2a971ec0b,2026-09-20 08:30:00,172.16.0.72,192.168.1.6,53147,80,TCP,1.377256,1034,62040,SYN,0,syn_flood,1
CIC-369295bd9a7a,2026-09-20 08:30:00,192.168.10.2,192.168.1.5,51466,80,TCP,11.54128,28,14473,"FIN,SYN,ACK",0,benign,0
CIC-aefb1903f973,2026-09-20 08:30:00,192.168.10.15,192.168.1.5,59339,53,UDP,12.455356,66,53732,"FIN,SYN,ACK",0,benign,0
CIC-4ec038661074,2026-09-20 08:30:00,192.168.10.49,192.168.1.9,51634,8080,TCP,14.043851,25,9212,"FIN,SYN,ACK",0,benign,0
CIC-ac5c63fc79b2,2026-09-20 08:30:00,192.168.10.38,192.168.1.6,54649,80,TCP,13.367347,60,28607,"FIN,SYN,ACK",0,benign,0
CIC-f580aa03eb5e,2026-09-20 08:30:00,192.168.10.12,192.168.1.2,49674,8080,TCP,1.462276,76,51984,"FIN,SYN,ACK",0,benign,0
CIC-f62a6c901564,2026-09-20 08:30:00,192.168.10.10,192.168.1.3,53747,80,TCP,2.3416,51,29157,"FIN,SYN,ACK",0,benign,0
CIC-afaff072a7e1,2026-09-20 08:30:00,192.168.10.12,192.168.1.2,53727,80,TCP,14.578805,54,10418,"FIN,SYN,ACK",0,benign,0
CIC-6897edda8dcf,2026-09-20 08:30:00,192.168.10.10,192.168.1.8,63312,443,TCP,1.871395,45,29138,"FIN,SYN,ACK",0,benign,0
