Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flags,Tos,class,attackType,attackID
2026-09-20 08:14:35.000,8.399,UDP,10.100.1.27,65135,10.200.1.24,53,100,80.1 K,.AP.SF,0,normal,---,---
2026-09-20 08:18:55.000,5.46,TCP,10.100.1.30,61956,10.200.1.22,443,116,33.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:13:52.000,6.7,TCP,10.100.1.27,62711,10.200.1.15,1433,85,30.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:43:48.000,11.651,TCP,10.100.1.27,61601,10.200.1.13,1433,97,43.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:46:27.000,8.228,TCP,10.100.1.11,65002,10.200.1.18,1433,78,24.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:43:33.000,2.355,UDP,10.100.1.28,54561,10.200.1.14,53,54,28.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:25:47.000,8.433,UDP,10.100.1.27,62786,10.200.1.18,53,141,110.4 K,.AP.SF,0,normal,---,---
2026-09-20 08:50:19.000,8.222,UDP,10.100.1.35,62338,10.200.1.10,53,122,49.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:32:34.000,9.391,TCP,10.100.1.36,58469,10.200.1.10,80,118,81.8 K,.AP.SF,0,normal,---,---
2026-09-20 08:37:13.000,0.024,TCP,194.168.10.170,61684,10.200.1.21,8080,2,88,....S.,0,attacker,portScan,ATK-670
2026-09-20 08:31:58.000,0.467,TCP,10.100.1.32,52667,10.200.1.15,443,20,8255,.AP.SF,0,normal,---,---
2026-09-20 08:54:24.000,0.794,TCP,10.100.1.44,56267,10.200.1.23,443,66,24.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:49:25.000,4.936,TCP,10.100.1.41,51887,10.200.1.16,443,79,52.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:17:54.000,0.024,TCP,194.168.10.184,57360,10.200.1.28,443,3,132,....S.,0,attacker,portScan,ATK-236
2026-09-20 08:40:39.000,3.688,TCP,10.100.1.27,55079,10.200.1.29,80,78,36.4 K,.AP.SF,0,normal,---,---
2026-09-20 08:44:32.000,0.046,TCP,194.168.10.245,53507,10.200.1.25,80,2,88,....S.,0,attacker,portScan,ATK-971
2026-09-20 08:14:31.000,3.34,UDP,10.100.1.38,63939,10.200.1.12,53,45,23.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:32:51.000,6.993,UDP,10.100.1.31,49471,10.200.1.25,53,72,29.8 K,.AP.SF,0,normal,---,---
2026-09-20 08:41:40.000,7.051,UDP,10.100.1.27,50535,10.200.1.25,53,102,65.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:17:43.000,0.562,TCP,194.168.10.126,50846,10.200.1.13,443,3435,151140,....S.,0,attacker,dos,ATK-628
2026-09-20 08:40:38.000,0.029,TCP,194.168.10.114,53980,10.200.1.10,80,3,132,....S.,0,attacker,portScan,ATK-236
2026-09-20 08:42:34.000,1.084,TCP,10.100.1.21,56379,10.200.1.28,443,144,107.7 K,.AP.SF,0,normal,---,---
2026-09-20 08:35:51.000,4.046,TCP,10.100.1.28,56342,10.200.1.15,80,84,32.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:25:15.000,1.769,TCP,10.100.1.22,60062,10.200.1.23,80,11,9100,.AP.SF,0,normal,---,---
2026-09-20 08:15:40.000,9.247,TCP,10.100.1.36,64159,10.200.1.29,443,42,29.8 K,.AP.SF,0,normal,---,---
2026-09-20 08:50:32.000,0.019,TCP,194.168.10.141,62393,10.200.1.29,80,1,44,....S.,0,attacker,portScan,ATK-385
2026-09-20 08:55:18.000,3.146,TCP,10.100.1.21,51848,10.200.1.20,1433,98,54.9 K,.AP.SF,0,normal,---,---
2026-09-20 08:51:53.000,10.711,TCP,10.100.1.13,52812,10.200.1.27,80,14,12.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:28:53.000,7.974,TCP,10.100.1.22,50699,10.200.1.24,443,74,54.8 K,.AP.SF,0,normal,---,---
2026-09-20 08:13:50.000,2.968,UDP,10.100.1.11,63764,10.200.1.13,53,114,97.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:23:25.000,1.324,TCP,194.168.10.12,65502,10.200.1.25,22,6795,298980,....S.,0,attacker,dos,ATK-388
2026-09-20 08:23:16.000,0.266,UDP,10.100.1.16,49446,10.200.1.23,53,145,43.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:30:19.000,0.035,TCP,194.168.10.195,63312,10.200.1.26,443,2,88,....S.,0,attacker,portScan,ATK-122
2026-09-20 08:13:29.000,1.573,TCP,10.100.1.32,65094,10.200.1.16,1433,109,31.8 K,.AP.SF,0,normal,---,---
2026-09-20 08:55:34.000,3.509,TCP,10.100.1.36,49559,10.200.1.21,1433,80,69.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:10:57.000,1.77,TCP,10.100.1.39,51871,10.200.1.21,443,86,23.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:10:42.000,9.439,TCP,10.100.1.42,50940,10.200.1.15,1433,112,59.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:55:52.000,6.416,TCP,10.100.1.40,61494,10.200.1.22,80,125,45.4 K,.AP.SF,0,normal,---,---
2026-09-20 08:52:23.000,7.858,TCP,10.100.1.24,56588,10.200.1.20,1433,24,12.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:53:13.000,9.817,UDP,10.100.1.48,56940,10.200.1.21,53,43,31.1 K,.AP.SF,0,normal,---,---
2026-09-20 08:54:55.000,0.016,TCP,194.168.10.235,58958,10.200.1.13,22,3,132,....S.,0,attacker,portScan,ATK-240
2026-09-20 08:12:19.000,0.002,TCP,194.168.10.30,52013,10.200.1.26,443,2,88,....S.,0,attacker,portScan,ATK-147
2026-09-20 08:34:46.000,3.884,TCP,10.100.1.37,63487,10.200.1.25,1433,81,38.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:21:22.000,0.354,TCP,194.168.10.226,59679,10.200.1.21,22,24,2160,.AP.SF,0,attacker,bruteForce,ATK-953
2026-09-20 08:14:14.000,0.833,TCP,194.168.10.95,62806,10.200.1.12,8080,2056,90464,....S.,0,attacker,dos,ATK-146
2026-09-20 08:57:25.000,10.842,UDP,10.100.1.13,62291,10.200.1.21,53,105,83.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:25:35.000,1.701,TCP,10.100.1.43,64994,10.200.1.27,80,118,87.9 K,.AP.SF,0,normal,---,---
2026-09-20 08:16:31.000,3.271,UDP,10.100.1.25,56981,10.200.1.13,53,119,77.1 K,.AP.SF,0,normal,---,---
2026-09-20 08:31:28.000,4.46,TCP,10.100.1.39,52148,10.200.1.23,443,67,30.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:26:32.000,5.823,TCP,10.100.1.47,57924,10.200.1.29,1433,120,101.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:13:24.000,6.439,TCP,10.100.1.40,52047,10.200.1.24,80,128,97.7 K,.AP.SF,0,normal,---,---
2026-09-20 08:40:41.000,1.672,TCP,10.100.1.37,50709,10.200.1.22,1433,92,73.8 K,.AP.SF,0,normal,---,---
2026-09-20 08:57:56.000,1.41,TCP,194.168.10.184,51927,10.200.1.26,22,24,2160,.AP.SF,0,attacker,bruteForce,ATK-465
2026-09-20 08:45:38.000,11.358,TCP,10.100.1.13,49973,10.200.1.11,443,92,69.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:32:43.000,6.912,TCP,10.100.1.16,57714,10.200.1.24,443,31,18.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:51:15.000,7.235,TCP,10.100.1.15,62028,10.200.1.12,1433,116,63.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:20:42.000,0.686,TCP,194.168.10.235,61120,10.200.1.16,8080,7262,319528,....S.,0,attacker,dos,ATK-763
2026-09-20 08:25:17.000,4.434,TCP,10.100.1.31,64900,10.200.1.12,443,135,52.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:37:56.000,8.783,UDP,10.100.1.27,64488,10.200.1.17,53,86,40.3 K,.AP.SF,0,normal,---,---
2026-09-20 08:51:56.000,11.841,TCP,10.100.1.10,56095,10.200.1.12,80,118,54.7 K,.AP.SF,0,normal,---,---
2026-09-20 08:43:36.000,7.1,UDP,10.100.1.35,49353,10.200.1.11,53,132,37.7 K,.AP.SF,0,normal,---,---
2026-09-20 08:10:24.000,5.557,TCP,10.100.1.22,57598,10.200.1.28,443,72,29.3 K,.AP.SF,0,normal,---,---
2026-09-20 08:23:48.000,10.562,TCP,10.100.1.14,62862,10.200.1.10,80,85,76.3 K,.AP.SF,0,normal,---,---
2026-09-20 08:43:53.000,7.836,UDP,10.100.1.34,63297,10.200.1.10,53,23,15.3 K,.AP.SF,0,normal,---,---
2026-09-20 08:54:24.000,2.459,UDP,10.100.1.15,59903,10.200.1.28,53,72,53.5 K,.AP.SF,0,normal,---,---
2026-09-20 08:49:57.000,0.031,TCP,194.168.10.14,53060,10.200.1.15,8080,1,44,....S.,0,attacker,portScan,ATK-863
2026-09-20 08:47:51.000,1.399,TCP,194.168.10.204,60589,10.200.1.26,22,24,2160,.AP.SF,0,attacker,bruteForce,ATK-853
2026-09-20 08:36:46.000,0.275,TCP,194.168.10.178,58134,10.200.1.22,443,3614,159016,....S.,0,attacker,dos,ATK-177
2026-09-20 08:10:23.000,1.128,TCP,194.168.10.14,50789,10.200.1.24,22,24,2160,.AP.SF,0,attacker,bruteForce,ATK-569
2026-09-20 08:20:53.000,7.434,UDP,10.100.1.10,56670,10.200.1.24,53,147,35.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:39:32.000,0.357,TCP,194.168.10.96,58048,10.200.1.25,8080,2733,120252,....S.,0,attacker,dos,ATK-328
2026-09-20 08:30:38.000,11.358,TCP,10.100.1.31,57958,10.200.1.23,443,98,29.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:29:54.000,6.149,TCP,10.100.1.47,56920,10.200.1.12,80,70,21.3 K,.AP.SF,0,normal,---,---
2026-09-20 08:30:48.000,0.016,TCP,194.168.10.71,59161,10.200.1.18,443,3,132,....S.,0,attacker,portScan,ATK-670
2026-09-20 08:25:55.000,7.101,TCP,10.100.1.26,49742,10.200.1.15,80,29,10.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:38:44.000,6.912,TCP,10.100.1.24,58114,10.200.1.22,80,67,24.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:31:35.000,6.635,UDP,10.100.1.22,59407,10.200.1.20,53,95,71.4 K,.AP.SF,0,normal,---,---
2026-09-20 08:51:34.000,10.648,TCP,10.100.1.15,61167,10.200.1.20,1433,59,42.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:15:12.000,5.98,UDP,10.100.1.22,50332,10.200.1.27,53,42,33.0 K,.AP.SF,0,normal,---,---
2026-09-20 08:33:18.000,0.493,TCP,194.168.10.144,61124,10.200.1.16,80,24,2160,.AP.SF,0,attacker,bruteForce,ATK-159
2026-09-20 08:30:28.000,1.258,TCP,194.168.10.180,60770,10.200.1.13,8080,24,2160,.AP.SF,0,attacker,bruteForce,ATK-315
2026-09-20 08:58:32.000,1.442,TCP,194.168.10.93,61801,10.200.1.18,22,6066,266904,....S.,0,attacker,dos,ATK-379
2026-09-20 08:10:43.000,7.727,TCP,10.100.1.38,52576,10.200.1.25,443,28,13.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:58:56.000,1.271,TCP,194.168.10.43,58260,10.200.1.14,8080,7692,338448,....S.,0,attacker,dos,ATK-854
2026-09-20 08:13:50.000,4.772,TCP,10.100.1.15,61526,10.200.1.10,443,100,51.4 K,.AP.SF,0,normal,---,---
2026-09-20 08:56:12.000,2.253,TCP,10.100.1.19,59507,10.200.1.14,1433,69,21.1 K,.AP.SF,0,normal,---,---
2026-09-20 08:14:23.000,5.97,UDP,10.100.1.29,53144,10.200.1.26,53,35,21.4 K,.AP.SF,0,normal,---,---
2026-09-20 08:40:12.000,8.075,TCP,10.100.1.41,61028,10.200.1.17,1433,127,83.1 K,.AP.SF,0,normal,---,---
2026-09-20 08:47:43.000,5.843,TCP,10.100.1.23,63110,10.200.1.17,80,133,105.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:38:34.000,10.218,TCP,10.100.1.25,63044,10.200.1.20,443,79,48.3 K,.AP.SF,0,normal,---,---
2026-09-20 08:29:18.000,0.046,TCP,194.168.10.160,49292,10.200.1.16,443,2,88,....S.,0,attacker,portScan,ATK-384
2026-09-20 08:25:16.000,0.023,TCP,194.168.10.236,58956,10.200.1.21,80,2,88,....S.,0,attacker,portScan,ATK-106
2026-09-20 08:40:53.000,11.783,TCP,10.100.1.38,56974,10.200.1.29,1433,32,20.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:32:52.000,11.562,TCP,10.100.1.34,50367,10.200.1.12,1433,116,81.7 K,.AP.SF,0,normal,---,---
2026-09-20 08:57:15.000,7.884,TCP,10.100.1.27,65282,10.200.1.13,443,122,71.6 K,.AP.SF,0,normal,---,---
2026-09-20 08:24:12.000,4.223,UDP,10.100.1.10,57477,10.200.1.25,53,48,34.8 K,.AP.SF,0,normal,---,---
2026-09-20 08:30:13.000,11.737,UDP,10.100.1.49,62154,10.200.1.22,53,132,69.4 K,.AP.SF,0,normal,---,---
2026-09-20 08:21:11.000,11.104,TCP,10.100.1.27,50053,10.200.1.17,1433,20,15.2 K,.AP.SF,0,normal,---,---
2026-09-20 08:42:47.000,1.045,TCP,194.168.10.194,49285,10.200.1.27,443,2874,126456,....S.,0,attacker,dos,ATK-765
2026-09-20 08:21:52.000,2.891,TCP,10.100.1.14,56421,10.200.1.10,80,112,26.2 K,.AP.SF,0,normal,---,---
