flow_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,tcp_flags,tos,label,is_anomaly
FLW-324992-b926d0e3,2026-09-20T08:24:48.379661,10.100.5.27,10.200.1.53,52569,53,UDP,0.03485,2,489,NONE,0,benign,0
FLW-478435-95fcdbca,2026-09-20T08:15:20.800509,10.100.2.36,10.200.1.53,61479,53,UDP,0.0557,2,171,NONE,0,benign,0
FLW-422864-503a07dd,2026-09-20T08:12:19.282829,10.100.4.47,20.112.41.212,58768,443,TCP,0.25852,52,45530,"SYN,ACK,PSH,FIN",0,benign,0
FLW-422647-1351a699,2026-09-20T08:34:06.336196,10.100.5.25,10.200.2.53,49787,53,UDP,0.01392,2,142,NONE,0,benign,0
FLW-325902-352c41a7,2026-09-20T08:45:59.218492,10.100.9.37,20.144.21.195,65470,443,TCP,4.79903,30,19171,"SYN,ACK,PSH,FIN",0,benign,0
FLW-391542-6c556dc0,2026-09-20T08:02:39.030371,10.100.2.45,10.200.1.13,55725,0,ICMP,0.00619,2,128,NONE,0,benign,0
FLW-673396-b8d711a2,2026-09-20T08:42:55.958390,10.200.1.22,10.200.3.10,51253,1433,TCP,3.80791,147,149183,"SYN,ACK,PSH",16,benign,0
FLW-609079-21610d16,2026-09-20T08:33:11.032827,10.100.4.39,10.200.1.53,62977,53,UDP,0.04286,2,350,NONE,0,benign,0
FLW-875376-dffacc00,2026-09-20T08:52:40.206014,10.100.6.16,104.170.167.120,61895,443,TCP,0.05,65,45432,"SYN,ACK,PSH,FIN",0,benign,0
FLW-947292-7d7a75c6,2026-09-20T08:17:50.039160,10.100.8.20,10.200.1.53,57808,53,UDP,0.05277,2,450,NONE,0,benign,0
FLW-488703-13499160,2026-09-20T08:44:53.459721,10.100.7.17,10.200.3.16,60356,123,UDP,0.01124,2,96,NONE,0,benign,0
FLW-365938-387b6995,2026-09-20T08:50:51.599285,10.100.1.45,10.200.1.53,53043,53,UDP,0.0025,2,180,NONE,0,benign,0
FLW-581812-d7381b62,2026-09-20T08:25:52.695592,10.100.9.39,157.124.171.125,53476,443,TCP,0.72299,44,33720,"SYN,ACK,PSH,FIN",0,benign,0
FLW-717481-25682f92,2026-09-20T08:21:14.992470,10.200.1.16,10.200.3.10,57071,1433,TCP,4.07593,143,110856,"SYN,ACK,PSH",16,benign,0
FLW-520889-eabddbef,2026-09-20T08:12:17.921820,10.100.5.43,20.51.205.2,60626,443,TCP,1.40835,59,32741,"SYN,ACK,PSH,FIN",0,benign,0
FLW-925276-4b1ed059,2026-09-20T08:21:14.904216,10.200.1.12,10.200.3.10,57801,5432,TCP,12.07731,114,98625,"SYN,ACK,PSH",16,benign,0
FLW-548239-0a6f8298,2026-09-20T08:04:37.625101,10.100.2.39,10.200.1.53,61696,53,UDP,0.04795,2,130,NONE,0,benign,0
FLW-717257-c33a53e2,2026-09-20T08:35:01.116189,10.100.3.38,13.151.75.6,51561,443,TCP,0.82452,86,57231,"SYN,ACK,PSH,FIN",0,benign,0
FLW-600254-12572493,2026-09-20T08:56:08.578178,10.200.2.12,10.200.3.20,62194,5432,TCP,1.13792,72,69224,"SYN,ACK,PSH",16,benign,0
